company_name,address,employees,asset,company_name_kana,company_name_en,searchtag,salesperson,inactive_flag,status
"DB, Inc",,,,,"MongoDB, Inc",,サイン #,いいえ,
I technology 株式会社,,,,イテクノロジー,,,サイン #,いいえ,
e Consulting Group K.K.,,,,ンサルティンググループ,Monroe Consulting Group K.K.,ITMC,サイン #,はい,休眠
n Lewis Stamford LLC,,,,n Lewis Stamford LLC,Morgan Lewis Stamford LLC,, 袈琳,いいえ,
n McKinley株式会社,,,,ッキンリー,,,サイン #,いいえ,
n Stanley Japan Limited (Tokyo Branch),,,,タンレージャパン,Morgan Stanley Japan Limited  ,MORGAN,サイン #,はい,休眠
BUILDING ASIA PTE. LTD.,,,,,,,サイン #,いいえ,
R'S,,,,,,,サイン #,いいえ,
HOTEL OSAKA HOMMACHI,,,,HOTEL OSAKA HOMMACHI,MOXY HOTEL OSAKA HOMMACHI,MOXY, Alpha俊徳,いいえ,
ューコンサルティング&ソリューションズ株式会社,仙台市青葉区錦町1丁目5－1 N-oval ビル,15,75000000,ューコンサルティング&ソリューションズ株式会社,,,サイン #,いいえ,
ューコンサルティング・アンド・ソリューションズ株式会社,東京都品川区東品川4-12-2 品川シーサイドウエストタワー 9階,,240000000,ューコンサルティングアンドソリューションズ,,MRVS,サイン #,いいえ,
インシュアランスグループホールディングス株式会社,東京都中央区新川2丁目27番2号 東京住友ツインビルディング西館,409,10000000000,,,,サイン #,いいえ,
システムズ株式会社,,,,ンドエーディーシステムズ,"MS&AD Systems Company, Limited",, 千夏,いいえ,
会社,,,,,,"ワクチン,ワクチン開発,健康製品,医療機器製造,医療機器販売,医療機器輸入,医療機器開発,医薬品,医薬品製造,医薬品販売,医薬品輸入,医薬品開発,獣医医薬品,研究,製造,販売,開発",サイン #,いいえ,
UTIONS株式会社,,,,,,,サイン #,いいえ,
クコンサルティング株式会社,,,,クコンサルティング,,, 拓磨,いいえ,
ップルプランニング株式会社,,,,ビーアップルプランニング,,,サイン #,はい,休眠
APAN,,,,APAN,MTL JAPAN,, 健太,いいえ,
APAN CO LTD,,,,エル,,,サイン #,いいえ,
会社,,,,,,,サイン #,いいえ,
etworks Japan株式会社,,,,ヴィーネットワークスジャパン,MTV Networks Japan K.K.,VIACOM　MTV, 昌志,はい,休眠
etworks Japan合同会社,,,,ブイネツトワークスジヤパン,,, 昌志,いいえ,
"Bank (China), Ltd.",,,,,,,サイン #,いいえ,
Bank (Malaysia) Berhad,,,,Bank (Malaysia) Berhad,MUFG Bank (Malaysia) Berhad,, 恵,いいえ,
Bank Turkey A.Ş.,,,,Bank Turkey A.Ş.,MUFG Bank Turkey A.Ş.,MUFGT, 恵,いいえ,
UNION BANK N.A.,,,,フジー ユニオン バンク,MUFG UNION BANK N.A.,,サイン #,いいえ,
"Union Bank, N.A.",,,,,,,サイン #,いいえ,
 GROUP,,,,,,,サイン #,いいえ,
ネスサービス株式会社,,,,ネスサービス,,, 良輔,いいえ,
システム株式会社,,,,スジョウホウシステム,"MUS information Systems Co.,Ltd.",MUSIS,女 初音,いいえ,
ティアサービサー,,,,ロンティアサービサー,,, 啓介,いいえ,
問株式会社,,,,ウシコモン,"ＭＵ Investments Co., Ltd.",, 咲貴,いいえ,
o,,,,,,,サイン #,いいえ,
ーテインメント株式会社,,,,スエンターテインメント,,MXTV, 良,いいえ,
リング株式会社,,,,スモバイリング,"MX Mobiling Co., Ltd.",MX, 拓,いいえ,
S inc.,,,,,,,サイン #,いいえ,
S inc./iLect,,,,,,,サイン #,いいえ,
"hima Ohno & Tsunematsu (Thailand) Co., Ltd.",東京都千代田区丸の内二丁目7番2号 ＪＰタワー,544,,"hima Ohno & Tsunematsu (Thailand) Co., Ltd","Nagashima Ohno & Tsunematsu (Thailand) Co., Ltd",, 亮介,いいえ,
HIMA OHNO & TSUNEMATSU Hanoi Branch,東京都千代田区丸の内二丁目7番2号 ＪＰタワー,544,,HIMA OHNO & TSUNEMATSU Hanoi Branch,NAGASHIMA OHNO & TSUNEMATSU Hanoi Branch,NOTHB, 亮介,いいえ,
HIMA OHNO & TSUNEMATSU HCMC Branch,東京都千代田区丸の内二丁目7番2号 ＪＰタワー,544,,HIMA OHNO & TSUNEMATSU HCMC Branch,,NOTHCMC, 亮介,はい,休眠
hima Ohno & Tsunematsu NY LLP,東京都千代田区丸の内二丁目7番2号 ＪＰタワー,544,,hima Ohno & Tsunematsu NY LLP,Nagashima Ohno & Tsunematsu NY LLP,, 亮介,いいえ,
HIMA OHNO & TSUNEMATSU SINGAPORE LLP,東京都千代田区丸の内二丁目7番2号 ＪＰタワー,544,,HIMA OHNO & TSUNEMATSU SINGAPORE LLP,NAGASHIMA OHNO & TSUNEMATSU SINGAPORE LLP,, 亮介,いいえ,
ATEI,,,,,,,サイン #,いいえ,
A.Inc,,,,,,,サイン #,いいえ,
Fresh & Preserved flower,,,,ッシュ アンド プリザーブド フラワー,,,サイン #,いいえ,
OQ株式会社,,,,OQ,NANAROQ Inc.,,サイン #,いいえ,
yl S.A.,,,,yl S.A.,,,サイン #,いいえ,
JAPAN株式会社,,,,,,"スキンケア用品製造,スキンケア用品販売,スキンケア用品開発,化粧品OEM,化粧品販売,化粧品輸入,衛生用品製造,衛生用品販売",サイン #,いいえ,
e's Sunshine K.K.,,,,ズサンシヤイン,,,サイン #,はい,休眠
e株式会社,,,,,,,サイン #,いいえ,
A株式会社,,,,A,,, 健太,いいえ,
A株式会社,,,,,,,サイン #,いいえ,
niversal,,,,niversal,NBC Universal,, 章子,いいえ,
株式会社,,,,,,,サイン #,いいえ,
uting,,,,,,,サイン #,いいえ,
株式会社,,,,,,,サイン #,いいえ,
株式会社,,,,,,"金融機関向けコンサルティング,金融機関向けシステム開発",サイン #,いいえ,
式会社,,,,,,,サイン #,いいえ,
株式会社,,,,,"NCS&A CO.,LTD.",,サイン #,いいえ,
ューションズ株式会社,,,,イソリューションズ,,, 穂乃香,いいえ,
ツ株式会社,,,,ツ,,, 泰徳,いいえ,
フォス株式会社,,,,フォス,,,サイン #,いいえ,
会社,,,,エス,,,サイン #,いいえ,
ウェア株式会社,,,,,,,サイン #,いいえ,
orporation,,,,ー コーポレーション,,,サイン #,いいえ,
orporation of America,,,,orporation of America,NEC Corporation of America,,サイン #,いいえ,
ジニアリング株式会社,,,,,,,サイン #,いいえ,
ピタルソリューション株式会社,東京都港区港南二丁目15番3号,609,3776880000,ーキャピタルソリューション,NEC Capital Solutions Limited,NEC-L, 健太,はい,休眠
テムテクノロジー株式会社,,,,,,"サービス事業,システムインテグレーション事業,在庫管理システム開発,基盤ソフトウェア開発事業,機器販売",サイン #,いいえ,
ト株式会社,,,,ーソフト,"NEC Soft,Ltd.",NECS, 英彦,いいえ,
ューションイノベータ株式会社,東京都江東区新木場一丁目18番7号,"12,286","8,668,000,000",ューションイノベータ,"NEC Solution Innovators, Ltd.",NECIS, 茂行,いいえ,
スプレイソリューションズ株式会社,,,,スプレイソリューションズ,"NEC Display Solutions, Ltd.",,サイン #,いいえ,
サソリューションズ株式会社,東京都港区三田1-4-28　三田国際ビル,"1,940",815000000,ーネクサソリューションズ,,NECNEXS,サイン #,はい,休眠
ツエスアイ・エンジニアリング株式会社,長野県佐久市塩名田229-6,7,10000000,,,"ICTシステム,ICT技術力,アウトソーシングサービス,クラウドサービス提供,コミュニケーション・システムインテグレーター,ネットワーク構築,保守・運用,施工力,監視サービス,防災情報システム",サイン #,いいえ,
ツエスアイ・サービス株式会社,東京都千代田区神田錦町３－１　オームビル４階,,60000000,,,,サイン #,いいえ,
ツエスアイ株式会社,,,,ーネッツエスアイ,NEC Networks ＆ System Integration Corporation,NESIC, 龍一,いいえ,
トワーク・センサ株式会社,,,,,,,サイン #,いいえ,
ソナルコンピュータ株式会社,,,,ソナルコンピュータ,"NEC Personal Computers,Ltd．",,サイン #,いいえ,
ールディングシステムテクノロジー株式会社,,,,,,,サイン #,いいえ,
ールディング株式会社,東京都港区三田一丁目4番28号,"4,681",9670100000,ーフィールディング,"NEC Fielding,Ltd.",NECFIELD, 直樹,はい,休眠
ットフォームズ株式会社,東京都千代田区神田司町 2-3,"6,917",10331000000,ットフォームズ,"NEC Platforms, Ltd.",,サイン #,いいえ,
ジメントパートナー株式会社,神奈川県川崎市中原区下沼部1753,"3,079",100000000,ーマネジメントパートナー,"NEC Management Partner, Ltd.",,サイン #,いいえ,
イリング株式会社,,,,,,,サイン #,いいえ,
スペースシステム株式会社,,,,シバスペースシステム,,,サイン #,いいえ,
arashi Inc.,,,,,,,サイン #,いいえ,
B株式会社,,,,,,NEOLAB,サイン #,いいえ,
ve,,,,,,,サイン #,いいえ,
SDI Company,,,,SDI Company,,,サイン #,いいえ,
"a Logistics Services, LLC.",,,, ロジスティックス サービス,"Neovia Logistics Services, LLC.",NEOVIA, 袈琳,いいえ,
ne,,,,,,,サイン #,いいえ,
"ne Systems USA, Inc.",,,,システムズUSA,"Net One Systems USA, Inc.",,サイン #,いいえ,
ervice Ventures,,,,ビスベンチャーズ,Net Service Ventures,,サイン #,いいえ,
p,,,,,,,サイン #,いいえ,
p Singapore Pte Ltd,,,,プシンガポール,,,サイン #,いいえ,
"rich, Inc",,,,,,,サイン #,いいえ,
"rich, Inc.",,,,"rich, Inc.",,,サイン #,いいえ,
IX,,,,,,,サイン #,いいえ,
ix K.K.,,,,ix K.K.,Netflix K.K.,NETFLIX,レオン,いいえ,
"IX STUDIOS, LLC",,,,IX STUDIOS,"NETFLIX STUDIOS, LLC",NFS,レオン,いいえ,
"ix, Inc.",,,,"ix, Inc.","Netflix, Inc.",NFLX, Alpha俊徳,いいえ,
株式会社,,,,,,,サイン #,いいえ,
"eSystems Co., Ltd.",,,,,,,サイン #,いいえ,
s Technology (S) Pte. Ltd.,,,, テクノロジー,Netsis Technology (S) Pte. Ltd.,,サイン #,はい,休眠
ope,,,,,,,サイン #,いいえ,
ope Japan株式会社,,,,,,,サイン #,いいえ,
ar Network Integration Singapore Pte Ltd,,,,ーネットワークインテグレーションシンガポール,NetStar Network Integration Singapore Pte Ltd,NSNIS,サイン #,はい,休眠
ar Systems Limited,,,,ーシステムズ,NetStar Systems Limited,NETSTAR,サイン #,いいえ,
rk Answers Japan,,,,クアンサーズジャパン,Network Answers Japan,NAJAPAN,サイン #,はい,休眠
"rk Appliance, BV",,,,クアプライアンスビーブイ,"Network Appliance, BV",NET-APP,サイン #,はい,休眠
rld,,,,,,,サイン #,いいえ,
Tech株式会社,,,,ック,,NRTC, 拓,いいえ,
ft Corporation,,,,,,,サイン #,いいえ,
ft Group (Dalian) Ltd.,,,,,,,サイン #,いいえ,
ix Cloud Japan株式会社,,,,ix Cloud Japan,,, 昴,いいえ,
"ona Networks, LLC",,,,"ona Networks, LLC","Neutrona Networks, LLC",NEUTRO,サイン #,いいえ,
surion Asia Pacific Japan合同会社,,,,ブリューアシュリオンアジアパシフィックジャパン,NEW Asurion Asia Pacific Japan G.K.,NEWASURION, 尚弘,はい,休眠
elic株式会社,,,,,,,サイン #,いいえ,
N Information Technology Ltd.,,,, インフォメーション テクノロジー,,NIT, 理美,いいえ,
シス,,,,,,,サイン #,いいえ,
raoOne Italia srl,,,,ラワンイタリア,NextiraOne Italia srl,NEXTIRA,サイン #,はい,休眠
式会社,,,,,,,サイン #,いいえ,
パン株式会社,,,,ージャパン,NGA Japan K.K.,,サイン #,いいえ,
roup株式会社,,,,イ,"ngi group,inc",NGI,サイン #,はい,休眠
ods Ltd.,,,,,,,サイン #,いいえ,
圏放送センター,,,,ケーシュトケンホウソウセンター,,,サイン #,いいえ,
放送局,,,,,,, 伊織,いいえ,
layArt 株式会社,,,,エヌプレイアート,NHN PlayArt Corp.,, 謙介,いいえ,
コラス株式会社,,,,ラス,NHN Techorus Corp.,, 麗,はい,休眠
pan株式会社,,,,エヌジヤパン,,,サイン #,いいえ,
ラス株式会社,,,,,,,サイン #,いいえ,
l Producers Environmental Research Association,,,,ロデューサーズインバイロメントリサーチアソシエーション,Nickel Producers Environmental Research Association,,サイン #,いいえ,
 Frank International,,,, Frank International,Nigel Frank International,,サイン #,いいえ,
" Unisys, Ltd.",,,,,,,サイン #,いいえ,
360 HOLDING B.V.,,,,,NIKE 360 HOLDING B.V.,, 雄大,いいえ,
GLOBAL TRADING B.V.,,,,,,,サイン #,いいえ,
GLOBAL TRADING B.V.SINGAPORE BRANCH,,,,ローバル トレーディング,NIKE GLOBAL TRADING B.V.SINGAPORE BRANCH,,サイン #,いいえ,
 INC.,,,,,,,サイン #,いいえ,
INC.,,,,,"NIKE,INC.",,サイン #,いいえ,
 Fron株式会社,,,,ン,,, 鴻貴,いいえ,
e Storage Japan合同会社,,,,e Storage Japan,Nimble Storage,,サイン #,いいえ,
ft,,,,,Nimsoft,,サイン #,いいえ,
x,,,,ス,Nintex,,サイン #,いいえ,
x Pty Ltd,,,,x Pty Ltd,,,サイン #,いいえ,
A株式会社,,,,,,,サイン #,いいえ,
o Electronics (USA) Corporation,,,,o Electronics USA Corporation,Nissho Electronics USA Corporation,,サイン #,いいえ,
", Inc.",,,,,,,サイン #,いいえ,
ステムズ株式会社,,,,ステムズ,"NKSJ Systems, Inc.",,サイン #,いいえ,
ルディングス株式会社,,,,,,,サイン #,いいえ,
トソーシング&コンサルティング株式会社,東京都千代田区麹町5-1-1 住友不動産麹町ガーデンタワー,,100000000,,,"クラウド会計導入支援,サーバー運用,人材活用コンサルティング,企業調査,会計コンサルティング,営業コンサルティング,転職支援",サイン #,いいえ,
ノソリューションズ株式会社,,,,ノソリューションズ,,,サイン #,いいえ,
 Siemens Networks,,,,メンスネットワークス,Nokia Siemens Networks,NOKIA,サイン #,はい,休眠
会社,,,,,,, 英彦,いいえ,
 of England P&I Association Limited,,,,イングランドピーアンドアイアソシエーション,North of England P＆I Association Limited,NEPIA, 正臣,いいえ,
ERN,,,,,,,サイン #,いいえ,
ERN PARKLIFE AB,,,,ERN PARKLIFE AB,NORTHERN PARKLIFE AB,,サイン #,いいえ,
n Rose Fulbright (Asia) LLP,,,,n Rose Fulbright (Asia) LLP,Norton Rose Fulbright (Asia) LLP,NRFLLP, 袈琳,いいえ,
少年少女レスリング連盟,,,,ョウネンショウジョレスリングレンメイ,,,サイン #,いいえ,
 ともに生きる会,,,,ルカイ,,TOMOIKI,サイン #,はい,休眠
 越後妻有里山協働機構,,,,リサトヤマキョウドウキコウ,,,サイン #,いいえ,
 青梅まちづくりネットワーク,,,,チヅクリネットワーク,,AOUME,サイン #,いいえ,
845,,,,,,,サイン #,いいえ,
J-Win,,,,ウィメンズ・イノベイティブ・ネットワークス,Japan Women’s Innovative Network,,サイン #,いいえ,
NEWVERY,,,,RY,"NEW VERY, N.P.O.",newvery, 梨恵,いいえ,
ジャパンスポーツコミュニケーションズ,,,,ポーツコミュニケーションズ,,,サイン #,いいえ,
顧問建築家機構,,,,,,,サイン #,いいえ,
全脳アーキテクチャイニシアチブ,,,,,,,サイン #,いいえ,
東京メンタルヘルス・スクエア,,,,メンタルヘルススクエア,,,サイン #,いいえ,
バーパテント株式会社,,,,バーパテント,"NRI Cyber Patent,Ltd.",PATENT,サイン #,はい,休眠
テムテクノ株式会社,,,,テムテクノ,"NRI System Techno, LTD.",NST, 謙市,いいえ,
ュアテクノロジーズ株式会社,,,,ュアテクノロジーズ,"NRI Secure Technologies, Ltd.",, 翼,いいえ,
タiテック株式会社,,,,タiテック,,NDI,木 拓己,いいえ,
トコム株式会社,,,,トコム,,, 翼,いいえ,
クプレイスサービス株式会社,,,,クプレイスサービス,"NRI Workplace Services, Ltd.",, 翼,いいえ,
E株式会社,,,,,,, 匡一,いいえ,
トアンドシステム株式会社,,,,トアンドシステム,,,サイン #,いいえ,
会社,,,,,,, 哲平,いいえ,
鋼販株式会社,,,,,,,サイン #,いいえ,
サービス株式会社,,,,サービス,,NSSLCS, 龍一,いいえ,
ノサービス株式会社,,,,ノサービス,"NSW TECHNOSERVICES CO.,LTD.",NSWTECHNO, 涼,いいえ,
ンシャルマネジメントコンサルティング株式会社,東京都港区虎ノ門1丁目17番1号 虎ノ門ヒルズビジネスタワー21階,,"45,000,000",,,"市場調査,金融機関向けコンサルティング",サイン #,いいえ,
会社,,,,,,,サイン #,いいえ,
会社,,,,,,,サイン #,いいえ,
apan,,,,ャパン,,, 剛,いいえ,
"merica, Inc.",,,,merica,,,サイン #,いいえ,
om DD株式会社,,,,,,"ICTサービス,ITソリューション,クラウドコンピューティング,クラウドサービス提供,コンタクトセンター技術,セキュリティシステム開発,ソリューションプロバイダー,デスクトップ技術,ネットワークプラットフォーム,ユニファイドコミュニケーション&コラボレーションツール,次世代データセンター",サイン #,いいえ,
"ommunications (Thailand) Co., Ltd.",,,,,,,サイン #,いいえ,
"ommunications(Thailand)Co., Ltd.",,,,,,,サイン #,いいえ,
ATA(中国)有限公司,,,,,,,サイン #,いいえ,
lectronics Shenzhen Limited,,,,lectronics Shenzhen,,, 義人,いいえ,
urope Ltd.,,,,urope Ltd.,NTT Europe Ltd.,, 尚弘,いいえ,
"urope Ltd., Germany",,,,,,,サイン #,いいえ,
バンステクノロジ株式会社,,,,バンステクノロジ,NTT Advanced Technology Corporation,NTTAT, 憲樹,いいえ,
ターネット株式会社,,,,ィインターネット,,, 智一,いいえ,
テリジェント企画開発株式会社,,,,ィインテリジェントキカクカイハツ,,NTT-IPD, 智一,はい,休眠
フラネット株式会社,,,,,,,サイン #,いいえ,
フラネット株式会社,,,,フラネット,NTT GEOSPACE CORPORATION,, 聖志,いいえ,
クトロニクス株式会社,,,,ィエレクトロニクス,NTT Electronics Corporation,, 智一,いいえ,
ルティ株式会社,,,,ィクラルティ,,, 義人,いいえ,
ュニケーションズ株式会社,,,,ィコミュニケーションズ,NTT Communications Corporation,NTTCOM, 義人,いいえ,
 エンジニアリング株式会社,,,,・ティ・コム エンジニアリング,,, 智一,いいえ,
 ソリューション&エンジニアリング株式会社,東京都港区芝浦1-2-1 シーバンスN館,2034,100000000,ィコム ソリューション&エンジニアリング,,NTTCSE, 智一,いいえ,
 ソリューションズ株式会社,,,,ティーコム ソリューションズ,,, 智一,いいえ,
 テクノロジー株式会社,,,,ティーコムテクノロジー,,, 智一,いいえ,
 マーケティング株式会社,,,,ィコムマーケティング,NTT Com Marketing Corporation,, 義人,いいえ,
ウェア株式会社,,,,ィコムウェア,,, 智一,いいえ,
エンジニアリング株式会社,,,,,,, 智一,いいえ,
オンライン・マーケティング・ソリューション株式会社,東京都品川区大崎1丁目5番1号 大崎センタービル4階,,,,,,サイン #,いいえ,
ソリューション&エンジニアリング株式会社,東京都千代田区神田猿楽町1丁目5番15号　猿楽町SSビル,"1,142",100000000,,,"IP電話サービス,Webシステム開発,インフラ,クラウド,システム導入支援,システム運用,ネットワーク,ネットワーク構築,プロバイダー,ボイスサービス",サイン #,いいえ,
ソリューションズ株式会社,,,,ィコムソリューションズ,NTT Com Solutions Corporation,, 智一,いいえ,
マーケティング株式会社,,,,,,,サイン #,いいえ,
ートコネクト株式会社,,,,,,"インターネット接続環境,クラウドサービス提供,クラウド事業,コンテンツ配信プラットフォームサービス,ストリーミング事業,セキュリティシステム開発,データセンター運用,ハウジング事業,マルチクラウド接続サービス,動画配信サービス運営,基盤サービス,自社データセンター",サイン #,いいえ,
ートトレード株式会社,,,,ートトレード,NTT Smart Trade Inc.,NTTST, 智一,いいえ,
ュリティ・ジャパン株式会社,,,,ュリティジャパン,NTT Security (Japan) KK,,サイン #,いいえ,
トウェア株式会社,,,,,,,サイン #,いいえ,
コ&北海道テレマート株式会社,,,,・ティソルコ&ホッカイドウテレマート,,, 勝,いいえ,
タカスタマサービス株式会社,東京都江東区枝川一丁目９番６号　住友不動産豊洲ビル2F,"1,124",100000000,ィデータカスタマサービス,,,サイン #,いいえ,
タジェトロニクス株式会社,東京都千代田区大手町二丁目2番1号 新大手町ビル 2階,602,490000000,タジェトロニクス,NTT DATA Getronics Corporation,, 敏之,いいえ,
タシステム技術株式会社,,,,ィデータシステムギジュツ,NTT DATA SYSTEM TECHNOLOGIES INC.,, 義人,いいえ,
タソフィア株式会社,,,,,,,サイン #,いいえ,
タフォース株式会社,,,,,,,サイン #,いいえ,
タマネジメントサービス株式会社,,,,,,,サイン #,いいえ,
タ先端技術株式会社,東京都中央区月島1-15-7 パシフィックマークス月島7F,919,100000000,タセンタンギジュツ,NTT DATA INTELLINK Corporation,, 健太,はい,休眠
ノクロス株式会社,,,,ティーテクノクロス,,, 絢之輔,いいえ,
ッジ･スクウェア株式会社,,,,ッジスクウェア,,, 義人,いいえ,
ネスソリューションズ株式会社,,,,,,,サイン #,いいえ,
イナンス株式会社,,,,イナンス,NTT FINANCE CORPORATION,NTTF, 和久,いいえ,
ナント株式会社,,,,,,,サイン #,いいえ,
系统(中国)有限公司,,,,ュニケーションズチャイナ,"NTT Communications China Co.,Ltd",NTTCom中国, 義人,いいえ,
開発ビルサービス株式会社,東京都千代田区外神田4-14-1 秋葉原UDX,552,300000000,,,,サイン #,いいえ,
開発株式会社,,,,カイハツカブシキガイシャ,,,サイン #,いいえ,
本,,,,ィヒガシニホン,,,サイン #,いいえ,
本関東病院,,,,ィヒガシニホンカントウビョウイン,,,サイン #,いいえ,
sia Pacific Pte. Ltd.,,,,ーアジアパシフィック,,, 翼,いいえ,
stemServicesCorporation,,,,テムサービス,NUL System Services Corporation,, 敏之,いいえ,
ent,,,,,,,サイン #,いいえ,
IX,,,,IX,NUMONIX,,サイン #,いいえ,
IX,,,,,,,サイン #,いいえ,
"ix, Inc",,,,,,,サイン #,いいえ,
"ix,Inc",,,,ックス,NUTANIX,,サイン #,いいえ,
A,,,,ア,,,サイン #,いいえ,
A GK,,,,ア,nVIDIA GK,NVIDIA, Alpha俊徳,はい,休眠
od Asia Pacific LTD,,,,ドアジアパシフィック,Oakwood Asia Pacific LTD,OAKWOOD,サイン #,いいえ,
株式会社,,,,,,,サイン #,いいえ,
Bank,,,,,,,サイン #,いいえ,
ENTAL UNDERWRITERS,,,,タル アンダーライターズ,OCCIDENTAL UNDERWRITERS,,サイン #,いいえ,
s株式会社,,,,ズカブシキガイシャ,,,サイン #,いいえ,
"er Japan Co.,Ltd,",,,,"er Japan Co.,Ltd.","Oetiker Japan Co., Ltd,",oetik,サイン #,いいえ,
E K,,,,,,,サイン #,いいえ,
roup,,,,,,,サイン #,いいえ,
式会社,,,,,,データ復旧,サイン #,いいえ,
ープ,,,,,,,サイン #,いいえ,
 MANILA,,,,,,,サイン #,いいえ,
our,,,,,,,サイン #,いいえ,
ステック株式会社,,,,,,,サイン #,いいえ,
会社,,,,,,,サイン #,いいえ,
us Scientific Solutions Americas,,,,us Scientific Solutions Americas,,, 裕樹,いいえ,
harge,,,,,,,サイン #,いいえ,
ICKET NETWORK (SINGAPORE) PTE LTD,,,,ットネットワーク,OMNITICKET NETWORK (SINGAPORE) PTE LTD,OMNINS, 尚弘,いいえ,
 Inc.,,,,,,, 徹,いいえ,
ages Inc,,,,ージ,OpenPages Inc,O-PAGE,サイン #,はい,休眠
ext,,,,キスト,,,サイン #,いいえ,
"ave Mobility, Inc.",,,,"ave Mobility, Inc.","Openwave Mobility, Inc.",, Alpha俊徳,はい,休眠
mp,,,,mp,,,サイン #,いいえ,
"T, Inc.",,,,T,"OPSWAT, Inc.",,サイン #,いいえ,
ns Technology Ltd.,,,,ns Technology Ltd.,Options Technology Ltd.,OPTIONS, Alpha俊徳,はい,休眠
e Corporation,,,,e Corporation,Oracle Corporation,, 良,いいえ,
e Business Service,,,,e Business Service,Orange Business Service,OBS,サイン #,いいえ,
eOne株式会社,,,,ン,,,サイン #,いいえ,
Investment And Management Private Limited,,,,インベストメントアンドマネージメントプライベートリミテッド,ORIX Investment And Management Private Limited,ORIXIM, 雄大,はい,休眠
"ONSULTING, INC.",,,,,,,サイン #,いいえ,
ソーシアム,,,,,,,サイン #,いいえ,
a U.S.A. Inc.,,,,,,,サイン #,いいえ,
ystemsジャパン株式会社,,,,,,,サイン #,いいえ,
ok連携テスト用,,,,クレンケイテストヨウ,,, 祐司,いいえ,
T株式会社,,,,ト,OXYBOT Inc.,OXYBOT,サイン #,はい,休眠
orks Company株式会社,,,,orks Company,,, 優大,いいえ,
"ic Business Consulting (Thailand) Co., Ltd.",,,,,,,サイン #,いいえ,
ICVISION PARTNERS,,,,ICVISION PARTNERS,,,サイン #,いいえ,
ra,,,,,,,サイン #,いいえ,
"ra Consulting Japan Co., Ltd.",,,,,,,サイン #,いいえ,
e Skateboards Limited,,,,e Skateboards Limited,Palace Skateboards Limited,PSL, 映美,いいえ,
E SKATEBOARDS株式会社,,,,E SKATEBOARDS,,PSB, 映美,いいえ,
roves Tech,,,,ーブステック,PalmGroves Tech,Palm, Alpha俊徳,いいえ,
onic Healthcare Singapore Pte. Ltd.,,,,クヘルスケアシンガポール,Panasonic healthcare Singapore Pte. Ltd.,, 良,いいえ,
onic System Networks Malaysia Sdn. Bhd.,,,,onic System Networks Malaysia Sdn. Bhd.,Panasonic System Networks Malaysia Sdn. Bhd.,, 良,いいえ,
 Graphics株式会社,,,,ラフィックス,,, 博之,いいえ,
ra,,,,,,,サイン #,いいえ,
lels Japan,,,,,,,サイン #,いいえ,
lels Japan KK,,,,lels Japan KK,Parallels Japan KK,PARALLELS,サイン #,はい,休眠
ount Japan G.K.,,,,トジャパンゴウドウガイシャ,Paramount Japan G.K.,PARAMO,サイン #,いいえ,
onia,,,,,,,サイン #,いいえ,
tfield株式会社,,,,tfield,Patentfield,,サイン #,いいえ,
l Pte.Ltd,,,,,PayPal Pte.Ltd,,サイン #,いいえ,
y株式会社,,,,,PayPay Corporation,PAYPAY, 賢人,いいえ,
zard Group Ltd,,,,,,,サイン #,いいえ,
zard Group plc,,,,,,,サイン #,いいえ,
"nnection, inc.",,,,"nnection, Inc.","PC Connection, Inc.",,サイン #,いいえ,
ローバルジャパン株式会社,大阪市中央区北浜1-1-21,,,,,,サイン #,いいえ,
オス株式会社,,,,,,,サイン #,いいえ,
ューションズ株式会社,,,,ューションズ,,,サイン #,いいえ,
ルディングス株式会社,,,,イホールディングスカブシキガイシャ,,,サイン #,いいえ,
"orth America, Inc.",,,,,,,サイン #,いいえ,
"a, Inc.",,,,,,,サイン #,いいえ,
us Tech Ventures,,,,us Tech Ventures,Pegasus Tech Ventures,,サイン #,いいえ,
"ystems, Inc.",,,,ムズ,"Pegasystems, Inc.",PEGA,サイン #,いいえ,
G UNIVERSITY,,,,,,,サイン #,いいえ,
S GRACE,,,,,,,サイン #,いいえ,
eCert International Limited,,,,eCert International Limited,,,サイン #,いいえ,
co Japan,,,,ャパン,Pepsico Japan,PEPSICO, 正臣,いいえ,
"cient, Inc.",,,,"cient, Inc.","Perficient, Inc.",,サイン #,いいえ,
ra Advisers Ltd.,,,,ra Advisers Ltd.,Permira Advisers Ltd.,,サイン #,いいえ,
nalized Spatial Audio,,,,,,,サイン #,いいえ,
"echnology,Co.,Ltd.",,,,"echnology,Co.,Ltd.",,, 和也,いいえ,
ネスフォアランナー株式会社,神奈川県横浜市西区みなとみらい4-4-5,16,40000000,,,,サイン #,いいえ,
計算機有限公司,,,,ーシャンハイ,,PFU上海, 功明,いいえ,
道株式会社,,,,ーホッカイドウカブシキガイシャ,,, 勝,いいえ,
ゴルフクラブ,,,,セイゴルフクラブ,,,サイン #,いいえ,
ルディングス株式会社,,,,ルディングス,PHC Holdings Corporation,PHCH, 直樹,いいえ,
会社,,,,シー,PHC Corporation,PHC, 圭汰,いいえ,
ンサルティング株式会社,,,,,,,サイン #,いいえ,
Point株式会社,,,,Point,PiecePoint Corporation,,サイン #,いいえ,
Identity,,,,,,,サイン #,いいえ,
Identity Corporation,,,,ンティティ,Ping Identity Corporation,, 哲平,いいえ,
